generating_rate,sampling_rate,sampling_strategy,sampling_size,dtar_true,var_asymptotic,ctar_hat,dtar_true_hat,bias,converged,status_code
24,672,equal,100,0.05,0.25,-22.164662569451522,0.4531214482421246,0.4031214482421246,0,5
24,672,equal,100,0.05,0.25,-2.6092211801596603,0.9110236052288121,0.861023605228812,1,0
24,672,equal,100,0.05,0.25,-2.5371658588735224,0.913371056495889,0.863371056495889,1,0
24,672,equal,100,0.05,0.25,-2.599279891962182,0.9113471179497309,0.8613471179497308,1,0
24,672,equal,100,0.05,0.25,-22.02795311388373,0.4553392145975189,0.4053392145975189,1,0
24,672,equal,100,0.05,0.25,-18.02429240132431,0.5253320560466149,0.47533205604661494,0,5
24,672,equal,100,0.05,0.25,-3.4476545396088434,0.8841482566430654,0.8341482566430654,1,0
24,672,equal,100,0.05,0.25,-22.790709635240603,0.4431026077541439,0.3931026077541439,0,5
24,672,equal,100,0.05,0.25,-3.8601161169061826,0.8712195303221535,0.8212195303221534,1,0
24,672,equal,100,0.05,0.25,-21.479895685781855,0.4643395843400352,0.4143395843400352,1,0
24,672,equal,100,0.05,0.25,-3.987176232320377,0.8672750135661207,0.8172750135661206,1,0
24,672,equal,100,0.05,0.25,-22.83956437935751,0.44233015097046746,0.3923301509704675,0,5
24,672,equal,100,0.05,0.25,-3.959384995124189,0.8681362496748756,0.8181362496748755,1,0
24,672,equal,100,0.05,0.25,-23.462976478545272,0.43259062124751363,0.38259062124751364,0,5
24,672,equal,100,0.05,0.25,-2.1163056366569695,0.9272033776012947,0.8772033776012946,1,0
24,672,equal,100,0.05,0.25,-23.605337619733813,0.43039677115183306,0.38039677115183307,0,5
24,672,equal,100,0.05,0.25,-59.938336349213536,0.11757781966293511,0.0675778196629351,1,0
24,672,equal,100,0.05,0.25,-22.771173453337052,0.44341187753168093,0.39341187753168094,0,5
24,672,equal,100,0.05,0.25,-2.152911076599485,0.9259920021992379,0.8759920021992379,1,0
24,672,equal,100,0.05,0.25,-23.380815309914105,0.4338618479681313,0.38386184796813133,0,5
24,672,equal,100,0.05,0.25,-19.304282699654554,0.5018576988784382,0.45185769887843824,1,0
24,672,equal,100,0.05,0.25,-3.764369458000888,0.8742037854653191,0.824203785465319,1,0
24,672,equal,100,0.05,0.25,-26.31354504705468,0.39071789875004537,0.3407178987500454,1,0
24,672,equal,100,0.05,0.25,-2.36466785776893,0.9190153778794513,0.8690153778794513,1,0
24,672,equal,100,0.05,0.25,-21.7592692046772,0.4597296143038168,0.4097296143038168,1,0
24,672,equal,100,0.05,0.25,-3.1871690794750824,0.8924119129945222,0.8424119129945221,1,0
24,672,equal,100,0.05,0.25,-22.730833239553718,0.4440511711551866,0.3940511711551866,0,5
24,672,equal,100,0.05,0.25,-1.832959494738851,0.9366338522718881,0.8866338522718881,1,0
24,672,equal,100,0.05,0.25,-27.527074137774612,0.37414577281019273,0.32414577281019274,0,5
24,672,equal,100,0.05,0.25,-3.43747225494294,0.8844698382985923,0.8344698382985922,1,0
24,672,equal,100,0.05,0.25,-3.129561268151625,0.8942498708272785,0.8442498708272784,1,0
24,672,equal,100,0.05,0.25,-23.831092543727667,0.42694057332056795,0.37694057332056796,0,5
24,672,equal,100,0.05,0.25,-23.01839602029445,0.439514059699584,0.389514059699584,1,0
24,672,equal,100,0.05,0.25,-1.653933659382345,0.9426416687696973,0.8926416687696973,1,0
24,672,equal,100,0.05,0.25,-2.135172682028133,0.9265788170396662,0.8765788170396661,1,0
24,672,equal,100,0.05,0.25,-5.677367757768372,0.8164716127199978,0.7664716127199978,1,0
24,672,equal,100,0.05,0.25,-3.3177337923425894,0.8882602606767723,0.8382602606767723,1,0
24,672,equal,100,0.05,0.25,-23.55709773504113,0.43113892065453546,0.3811389206545355,1,0
24,672,equal,100,0.05,0.25,-2.313958946650512,0.9206812526548956,0.8706812526548956,1,0
24,672,equal,100,0.05,0.25,-29.080303068462207,0.3539561468612266,0.30395614686122663,1,0
24,672,equal,100,0.05,0.25,-28.52050900353071,0.3611038794733298,0.3111038794733298,1,0
24,672,equal,100,0.05,0.25,-24.896059440831774,0.4110070217714781,0.3610070217714781,1,0
24,672,equal,100,0.05,0.25,-4.853914298280402,0.8408398358094006,0.7908398358094005,1,0
