"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.05,"RandomTimestamp",300,"Daily","error_var_ct",0.209663140084331,0.020596484442882,0.169131256327791,0.25019502384087,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","beta_ct",-0.402158067748399,0.0643752612526242,-0.528842338218158,-0.275473797278641,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","LogLik_ct",237.143740447273,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","AIC_ct",241.143740447273,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","BIC_ct",248.551305396586,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","error_var_dt",0.144225124229773,0.0117821106246067,0.121039073252598,0.167411175206948,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","beta_dt",0.663219646687746,0.0431630003198562,0.578279048383238,0.748160244992255,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","LogLik_dt",270.695194097017,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","AIC_dt",274.695194097017,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","BIC_dt",282.10275904633,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","error_var_ct",1.02543785616252,0.192410751575762,0.646792158737566,1.40408355358747,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","beta_ct",-2.20022086690383,0.417537275995232,-3.02189372964859,-1.37854800415906,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","LogLik_ct",398.202235091411,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","AIC_ct",402.202235091411,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","BIC_ct",409.609800040723,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","error_var_dt",0.231777814131193,0.0189247823416881,0.194535677973524,0.269019950288861,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","beta_dt",0.102872560719349,0.0574598180783382,-0.0102027883035275,0.215947909742225,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","LogLik_dt",412.773528248951,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","AIC_dt",416.773528248951,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Weekly","BIC_dt",424.181093198263,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","error_var_ct",3.00896970790012,1.52071298991929,0.0163540357741074,6.00158538002614,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","beta_ct",-6.05222132450989,3.05847393683169,-12.0710013946645,-0.0334412543552558,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","LogLik_ct",432.193725812039,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","AIC_ct",436.193725812039,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","BIC_ct",443.601290761352,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","error_var_dt",0.24820236247497,0.0202656582877693,0.208321512505281,0.288083212444659,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","beta_dt",0.0423335677580099,0.0580827238083695,-0.0719675993267264,0.156634734842746,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","LogLik_dt",433.310250987138,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","AIC_dt",437.310250987138,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Monthly","BIC_dt",444.71781593645,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",300,"Daily","error_var_ct",0.207523315439087,0.021284117705638,0.165638236114127,0.249408394764048,"CT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","beta_ct",-0.502693396790601,0.0763129450657696,-0.652869871183731,-0.352516922397471,"CT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","LogLik_ct",210.454207338983,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","AIC_ct",214.454207338983,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","BIC_ct",221.861772288295,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","error_var_dt",0.126332316142326,0.0103183309415773,0.106026841611208,0.146637790673445,"DT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","beta_dt",0.621740354203796,0.045180602032098,0.532829311414241,0.71065139699335,"DT",1,2
"Weekly",0.05,"RandomTimestamp",300,"Daily","LogLik_dt",230.851267740242,NA,NA,NA,"DT",1,2
