"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.05,"RandomTimestamp",100,"Daily","error_var_ct",0.186531245182301,0.0320654236013504,0.122914358027829,0.250148132336773,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","beta_ct",-0.425870312639992,0.115773854544127,-0.655562342645229,-0.196178282634756,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","LogLik_ct",65.2456091371594,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","AIC_ct",69.2456091371594,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","BIC_ct",74.4559495091356,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","error_var_dt",0.131611804742741,0.0186439522735221,0.0946227344393606,0.168600875046121,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","beta_dt",0.646950797496643,0.0762774484200727,0.49561851232557,0.798283082667717,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","LogLik_dt",81.2632633904998,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","AIC_dt",85.2632633904998,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","BIC_dt",90.473603762476,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","error_var_ct",1.04322578750155,0.34598420246879,0.356802983944387,1.72964859105872,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","beta_ct",-2.4425265771548,0.810697786550105,-4.05092789580029,-0.834125258509302,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","LogLik_ct",124.557641241342,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","AIC_ct",128.557641241342,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","BIC_ct",133.767981613318,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","error_var_dt",0.207811604366306,0.0293917288032612,0.149499251540467,0.266123957192144,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","beta_dt",0.159230557321959,0.0983398824099005,-0.0358729685142387,0.354334083158157,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","LogLik_dt",126.684907463884,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","AIC_dt",130.684907463884,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Weekly","BIC_dt",135.89524783586,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","error_var_ct",1.95546593727489,1.18975475394854,-0.404973608586999,4.31590548313679,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","beta_ct",-3.76926230215101,2.3117810810124,-8.3557701239412,0.817245519639178,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","LogLik_ct",147.335582184412,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","AIC_ct",151.335582184412,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","BIC_ct",156.545922556388,NA,NA,NA,"CT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","error_var_dt",0.25655663392716,0.036283228255364,0.184571742468429,0.328541525385891,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","beta_dt",0.0943023221984538,0.0992361531265519,-0.102579379212467,0.291184023609375,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","LogLik_dt",147.748942326915,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","AIC_dt",151.748942326915,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Monthly","BIC_dt",156.959282698891,NA,NA,NA,"DT",1,1
"Weekly",0.05,"RandomTimestamp",100,"Daily","error_var_ct",0.211704661036147,0.0403898211212846,0.131572406293257,0.291836915779036,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","beta_ct",-0.673600998482926,0.169454892636759,-1.00979467914872,-0.33740731781713,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","LogLik_ct",59.2058240660748,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","AIC_ct",63.2058240660748,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","BIC_ct",68.416164438051,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","error_var_dt",0.114292093980943,0.0161761636104384,0.0821990460988564,0.14638514186303,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","beta_dt",0.538256789697787,0.0840223577458496,0.371558825010825,0.704954754384749,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","LogLik_dt",66.9964987031503,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","AIC_dt",70.9964987031503,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","BIC_dt",76.2068390751265,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","error_var_ct",1.53281982531054,0.669277692198345,0.204991946005852,2.86064770461523,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","beta_ct",-3.8986962351821,1.68071632134425,-7.23318954744676,-0.564202922917433,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","LogLik_ct",119.296837633515,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","AIC_ct",123.296837633515,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","BIC_ct",128.507178005491,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","error_var_dt",0.201317684308712,0.0284713065790647,0.144831422960695,0.257803945656728,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","beta_dt",0.0310905084952815,0.103079740806825,-0.173416761402249,0.235597778392812,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","LogLik_dt",123.502972738569,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","AIC_dt",127.502972738569,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Weekly","BIC_dt",132.713313110545,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","error_var_ct",13.2970832251182,15.4602734735293,-17.3756590149491,43.9698254651854,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","beta_ct",-25.154745046672,29.1514274532488,-82.9903468382233,32.6808567448793,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","LogLik_ct",150.536523181009,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","AIC_ct",154.536523181009,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","BIC_ct",159.746863552985,NA,NA,NA,"CT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","error_var_dt",0.264882170470508,0.0374600699667133,0.19056245857465,0.339201882366367,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","beta_dt",0.0518320715400998,0.0995501486650748,-0.145672588076194,0.249336731156393,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","LogLik_dt",150.940886948351,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","AIC_dt",154.940886948351,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Monthly","BIC_dt",160.151227320327,NA,NA,NA,"DT",1,2
"Weekly",0.05,"RandomTimestamp",100,"Daily","error_var_ct",0.227454267946058,0.0389011051069467,0.150275583374785,0.304632952517332,"CT",1,3
"Weekly",0.05,"RandomTimestamp",100,"Daily","beta_ct",-0.406920344375553,0.112821024612041,-0.630754043896487,-0.183086644854619,"CT",1,3
"Weekly",0.05,"RandomTimestamp",100,"Daily","LogLik_ct",89.7081160658544,NA,NA,NA,"CT",1,3
"Weekly",0.05,"RandomTimestamp",100,"Daily","AIC_ct",93.7081160658544,NA,NA,NA,"CT",1,3
