"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.5,"SameTimestamp",100,"Daily","error_var_ct",0.0402563987367517,0.00589359580934066,0.02856367250933,0.0519491249641733,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","beta_ct",-0.0596865460332102,0.036051391703109,-0.131211480375315,0.0118383883088943,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","LogLik_ct",-42.2893782688942,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","AIC_ct",-38.2893782688942,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","BIC_ct",-33.0790378969181,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","error_var_dt",0.0379464555242888,0.00538623771476549,0.0272603133061967,0.0486325977423809,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","beta_dt",0.942059782361955,0.0339625654049923,0.874679019902457,1.00944054482145,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","LogLik_dt",-42.2893782688942,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","AIC_dt",-38.2893782688942,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","BIC_dt",-33.079037896918,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","error_var_ct",0.26179061156682,0.048255480387995,0.166053112864366,0.357528110269274,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","beta_ct",-0.564793307754478,0.144409062667054,-0.851296775102595,-0.27828984040636,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","LogLik_ct",98.6287447123009,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","AIC_ct",102.628744712301,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","BIC_ct",107.839085084277,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","error_var_dt",0.156861445433588,0.022197152671838,0.112822926740343,0.200899964126834,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","beta_dt",0.568477613133106,0.0820937429734599,0.405605965224769,0.731349261041444,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","LogLik_dt",98.6287447123004,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","AIC_dt",102.6287447123,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Weekly","BIC_dt",107.839085084277,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","error_var_ct",13.6215291224642,416.425958866499,-812.555712842531,839.798771087459,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","beta_ct",-23.7843311315463,727.116355355856,-1466.36247081021,1418.79380854712,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","LogLik_ct",158.735389720712,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","AIC_ct",162.735389720712,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","BIC_ct",167.945730092688,NA,NA,NA,"CT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","error_var_dt",0.284454488631066,0.0402279311206572,0.204643419038555,0.364265558223577,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","beta_dt",-0.0812898486333085,0.0994613594472281,-0.278618352970242,0.116038655703625,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","LogLik_dt",158.069589047342,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","AIC_dt",162.069589047342,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Monthly","BIC_dt",167.279929419318,NA,NA,NA,"DT",1,1
"Weekly",0.5,"SameTimestamp",100,"Daily","error_var_ct",0.0542158463792465,0.00874668085823516,0.0368626806748928,0.0715690120836002,"CT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","beta_ct",-0.259947535543593,0.0830006307013758,-0.424618422874614,-0.0952766482125716,"CT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","LogLik_ct",-31.8173122223925,NA,NA,NA,"CT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","AIC_ct",-27.8173122223925,NA,NA,NA,"CT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","BIC_ct",-22.6069718504163,NA,NA,NA,"CT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","error_var_dt",0.0422778156937275,0.00599754172301846,0.0303788637341022,0.0541767676533528,"DT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","beta_dt",0.77109205552059,0.0640011065849168,0.644115682902125,0.898068428139056,"DT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","LogLik_dt",-31.817312222393,NA,NA,NA,"DT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","AIC_dt",-27.817312222393,NA,NA,NA,"DT",1,2
"Weekly",0.5,"SameTimestamp",100,"Daily","BIC_dt",-22.6069718504168,NA,NA,NA,"DT",1,2
