"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.05,"SameTimestamp",300,"Daily","error_var_ct",0.223055656951297,0.0222048475258319,0.179358670640619,0.266752643261975,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","beta_ct",-0.417080591298283,0.0658901768881327,-0.546746068808964,-0.287415113787601,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","LogLik_ct",284.925402134018,NA,NA,NA,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","AIC_ct",288.925402134018,NA,NA,NA,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","BIC_ct",296.332967083331,NA,NA,NA,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","error_var_dt",0.151285247313994,0.0123563622743388,0.12696912478609,0.175601369841898,"DT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","beta_dt",0.658967766157605,0.0434198223684944,0.573521766970224,0.744413765344987,"DT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","LogLik_dt",284.92540213402,NA,NA,NA,"DT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","AIC_dt",288.92540213402,NA,NA,NA,"DT",1,1
"Weekly",0.05,"SameTimestamp",300,"Daily","BIC_dt",296.332967083332,NA,NA,NA,"DT",1,1
"Weekly",0.05,"SameTimestamp",300,"Weekly","error_var_ct",1.09744556374399,0.271193135953771,0.563763774867225,1.63112735262075,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Weekly","beta_ct",-2.2750130128388,0.557713665639412,-3.37253941487206,-1.17748661080554,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Weekly","LogLik_ct",421.532308313344,NA,NA,NA,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Weekly","AIC_ct",425.532308313344,NA,NA,NA,"CT",1,1
"Weekly",0.05,"SameTimestamp",300,"Weekly","BIC_ct",432.939873262657,NA,NA,NA,"CT",1,1
