"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.5,"RandomTimestamp",300,"Daily","error_var_ct",0.0484135649995232,0.00411343669956532,0.0403187205318167,0.0565084094672296,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","beta_ct",-0.0773320873605015,0.0237798515117201,-0.124128528757757,-0.0305356459632461,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","LogLik_ct",-113.374739074171,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","AIC_ct",-109.374739074171,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","BIC_ct",-101.967174124859,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","error_var_dt",0.0459552426459834,0.00375662511063162,0.0385625687785924,0.0533479165133744,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","beta_dt",0.923533204290396,0.0222695121190894,0.879708964331924,0.967357444248867,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","LogLik_dt",-71.6874405166333,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","AIC_dt",-67.6874405166333,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Daily","BIC_dt",-60.2798755673209,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","error_var_ct",0.301951439523369,0.0326270866453427,0.237744497465323,0.366158381581415,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","beta_ct",-0.614147701379669,0.0912259426330503,-0.79367150859238,-0.434623894166958,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","LogLik_ct",299.162071208602,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","AIC_ct",303.162071208602,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","BIC_ct",310.569636157914,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","error_var_dt",0.166140956853861,0.0135685157891451,0.139439433774058,0.192842479933663,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","beta_dt",0.556767377406807,0.0485657119016757,0.461194766711461,0.652339988102153,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","LogLik_dt",312.980439067966,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","AIC_dt",316.980439067966,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Weekly","BIC_dt",324.388004017278,NA,NA,NA,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","error_var_ct",1.09987084102633,0.227710106835708,0.651759436089761,1.54798224596291,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","beta_ct",-2.36579684469599,0.498384012191551,-3.34656824305213,-1.38502544633986,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","LogLik_ct",399.872589146326,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","AIC_ct",403.872589146326,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","BIC_ct",411.280154095638,NA,NA,NA,"CT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","error_var_dt",0.230107454999257,0.0187882944943615,0.193133913687342,0.267080996311171,"DT",1,1
"Weekly",0.5,"RandomTimestamp",300,"Monthly","beta_dt",0.131953400385704,0.0573418040640123,0.0191102914969905,0.244796509274417,"DT",1,1
