"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.05,"SameTimestamp",100,"Daily","error_var_ct",1.13152649744083,0.510858817743198,0.117997153051709,2.14505584182995,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","beta_ct",-2.37116447851706,1.0609027185643,-4.47596525607284,-0.266363700961284,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","LogLik_ct",139.616020136695,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","AIC_ct",143.616020136695,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","BIC_ct",148.826360508671,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","error_var_dt",0.23652122291995,0.0334491646735032,0.170159032889315,0.302883412950584,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","beta_dt",0.0933719334942355,0.0990570218410101,-0.103154376548094,0.289898243536565,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","LogLik_dt",139.616020136695,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","AIC_dt",143.616020136695,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Daily","BIC_dt",148.826360508671,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","error_var_ct",1.50570615025479,1.11621643252256,-0.708835460377931,3.7202477608875,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","beta_ct",-3.14179937083651,2.31345448661662,-7.73162718168441,1.44802844001139,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","LogLik_ct",140.732786104145,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","AIC_ct",144.732786104145,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","BIC_ct",149.943126476121,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","error_var_dt",0.239177521065725,0.0338248081396232,0.172070065097189,0.306284977034261,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","beta_dt",0.0432049886116232,0.0999117081700777,-0.155016994764848,0.241426971988094,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","LogLik_dt",140.732786104145,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","AIC_dt",144.732786104145,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Weekly","BIC_dt",149.943126476121,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",100,"Monthly","error_var_ct",1.69611125739821,1.11497156076786,-0.515960563128971,3.9081830779254,"CT",1,1
"Daily",0.05,"SameTimestamp",100,"Monthly","beta_ct",-2.9690042062183,1.93646050159558,-6.81088668812977,0.872878275693172,"CT",1,1
