"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Weekly",0.2,"SameTimestamp",1000,"Daily","error_var_ct",0.114601760921536,0.0057634688130111,0.10329188082864,0.125911641014432,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","beta_ct",-0.242538293275657,0.0249788650363774,-0.291555296331229,-0.193521290220085,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","LogLik_ct",439.211175786528,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","AIC_ct",443.211175786528,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","BIC_ct",453.026686344493,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","error_var_dt",0.0908045916765687,0.00406173456962911,0.0828340911946419,0.0987750921584955,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","beta_dt",0.784633707266915,0.0195992350287771,0.746173362415644,0.823094052118186,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","LogLik_dt",439.211175786528,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","AIC_dt",443.211175786528,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","BIC_dt",453.026686344492,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","error_var_ct",0.749403637305069,0.0665582479842553,0.61879378613423,0.880013488475909,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","beta_ct",-1.47942458820968,0.135449982847354,-1.7452233830483,-1.21362579337105,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","LogLik_ct",1411.32906777576,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","AIC_ct",1415.32906777576,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","BIC_ct",1425.14457833373,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","error_var_dt",0.240135795001167,0.0107392234562212,0.219061797115297,0.261209792887038,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","beta_dt",0.227768711658147,0.030851462937012,0.167227680236181,0.288309743080113,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","LogLik_dt",1411.32906777576,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","AIC_dt",1415.32906777576,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Weekly","BIC_dt",1425.14457833373,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","error_var_ct",1.40084766927927,0.259557750249155,0.891507352233974,1.91018798632457,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","beta_ct",-2.78711191082446,0.512029178777144,-3.7918867788623,-1.78233704278662,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","LogLik_ct",1452.99996930095,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","AIC_ct",1456.99996930095,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","BIC_ct",1466.81547985892,NA,NA,NA,"CT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","error_var_dt",0.250354568728841,0.0111961873179167,0.22838385279864,0.272325284659042,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","beta_dt",0.0615989380666351,0.0315548769685614,-0.000322430199441975,0.123520306332712,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","LogLik_dt",1452.99996930097,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","AIC_dt",1456.99996930097,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Monthly","BIC_dt",1466.81547985894,NA,NA,NA,"DT",1,1
"Weekly",0.2,"SameTimestamp",1000,"Daily","error_var_ct",0.112292036861854,0.00570249775698616,0.101101802654995,0.123482271068713,"CT",1,2
"Weekly",0.2,"SameTimestamp",1000,"Daily","beta_ct",-0.263170482821185,0.0263208244958128,-0.314820865368892,-0.211520100273479,"CT",1,2
"Weekly",0.2,"SameTimestamp",1000,"Daily","LogLik_ct",399.955599209804,NA,NA,NA,"CT",1,2
"Weekly",0.2,"SameTimestamp",1000,"Daily","AIC_ct",403.955599209804,NA,NA,NA,"CT",1,2
"Weekly",0.2,"SameTimestamp",1000,"Daily","BIC_ct",413.771109767769,NA,NA,NA,"CT",1,2
"Weekly",0.2,"SameTimestamp",1000,"Daily","error_var_dt",0.0873086083766754,0.00390536482257862,0.0796449583604447,0.0949722583929061,"DT",1,2
