"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_ct",0.943779785892343,0.176913555748347,0.595631066802265,1.29192850498242,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","beta_ct",-1.7659928379066,0.333464385981482,-2.42221840722789,-1.10976726858532,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_ct",446.542388034712,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_ct",450.542388034712,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_ct",457.949952984024,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_dt",0.259394393554369,0.0211795437092502,0.217715105711799,0.301073681396938,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","beta_dt",0.171016921024085,0.0570241614867129,0.0587989019197437,0.283234940128425,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_dt",446.542388034712,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_dt",450.542388034712,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_dt",457.949952984024,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_ct",1.11202794105728,0.275627747621974,0.569619266524888,1.65443661558968,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_ct",-2.28021080945541,0.560647182061193,-3.38351008728867,-1.17691153162214,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_ct",424.840597775095,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_ct",428.840597775095,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_ct",436.248162724407,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_dt",0.241293126194239,0.0197015041807493,0.202522476790569,0.280063775597908,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_dt",0.10226245430261,0.0573408410109648,-0.010578759391111,0.21510366799633,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_dt",424.840597775096,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_dt",428.840597775096,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_dt",436.248162724408,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_ct",11.1945289442946,235.476405967903,-452.20019944088,474.589257329469,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_ct",-22.724925609923,478.016679636369,-963.41538889936,917.965537679514,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_ct",431.008814381231,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_ct",435.008814381231,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_ct",442.416379330544,NA,NA,NA,"CT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_dt",0.246080515055717,0.0200923731603537,0.206540673410076,0.285620356701359,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_dt",-0.0302061676484251,0.0576284704648644,-0.143613408210602,0.0832010729137521,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_dt",430.734205688614,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_dt",434.734205688614,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_dt",442.141770637926,NA,NA,NA,"DT",1,1
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_ct",1.04068439799439,0.240822332521186,0.566769404647026,1.51459939134174,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","beta_ct",-2.15948411791089,0.496476730455169,-3.13650217079467,-1.1824660650271,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_ct",420.404072331391,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_ct",424.404072331391,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_ct",431.811637280704,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_dt",0.237748660684125,0.0194123024023546,0.19954713233102,0.275950189037229,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","beta_dt",0.115384748941467,0.0572767660330325,0.0026696285897656,0.228099869293169,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_dt",420.404072331382,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_dt",424.404072331382,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_dt",431.811637280695,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_ct",1.46484205074022,0.658464843650773,0.169047102110304,2.76063699937014,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_ct",-3.21507726885947,1.43607135936007,-6.04112642132995,-0.389028116388997,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_ct",407.104138872928,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_ct",411.104138872928,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_ct",418.51170382224,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_dt",0.227440928586171,0.0185704952451396,0.190895995072651,0.263985862099691,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_dt",0.0401521987171111,0.0576531839973402,-0.0733036756800442,0.153608073114266,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_dt",407.104138872926,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_dt",411.104138872926,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_dt",418.511703822239,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_ct",9.93107990307071,108.155636253324,-202.908722364704,222.770882170846,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_ct",-23.1738078906971,252.377437981811,-519.828128069462,473.480512288067,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_ct",389.212324259939,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_ct",393.212324259939,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_ct",400.619889209251,NA,NA,NA,"CT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_dt",0.213328641488096,0.0174182866805132,0.179051142678505,0.247606140297687,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_dt",-0.0663194229028162,0.0575669089578766,-0.179605516390014,0.0469666705843819,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_dt",387.888059138111,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_dt",391.888059138111,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_dt",399.295624087424,NA,NA,NA,"DT",1,2
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_ct",0.734257168035242,0.121863161147001,0.494442286252263,0.974072049818221,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","beta_ct",-1.52909467217406,0.260055171549757,-2.04085802736084,-1.01733131698727,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_ct",408.947694565877,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_ct",412.947694565877,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_ct",420.355259515189,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_dt",0.228817561083232,0.0186848845585812,0.192047520495335,0.26558760167113,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","beta_dt",0.216732036782158,0.0563655485562826,0.105810104046867,0.32765396951745,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_dt",408.947694565931,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_dt",412.947694565931,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_dt",420.355259515244,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_ct",2.23108049719226,2.85595799988665,-3.38916785081987,7.85132884520439,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_ct",-4.61982703841169,5.90695905742301,-16.2441495549104,7.00449547808699,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_ct",425.028520518655,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_ct",429.028520518655,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_ct",436.436085467967,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_dt",0.241444522488649,0.0197138648174757,0.202649548550745,0.280239496426553,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_dt",0.00985448499113898,0.0582560168513991,-0.104787705994806,0.124496675977084,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_dt",425.028520518655,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_dt",429.028520518655,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_dt",436.436085467967,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_ct",9.76355898895312,101.932813548708,-190.830331739863,210.35744971777,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_ct",-20.8367567436085,217.539600943137,-448.933592508143,407.260079020926,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_ct",416.000067789268,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_ct",420.000067789268,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_ct",427.40763273858,NA,NA,NA,"CT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_dt",0.234275836922217,0.0191285425814727,0.196632720375101,0.271918953469333,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_dt",-0.00677800582972901,0.0578329072589415,-0.120587558174583,0.107031546515125,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_dt",415.986332371984,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_dt",419.986332371984,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_dt",427.393897321296,NA,NA,NA,"DT",1,3
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_ct",0.717351612936668,0.11938679098965,0.482409987443338,0.952293238429998,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","beta_ct",-1.52989012643512,0.260888603360321,-2.04329359459159,-1.01648665827864,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_ct",401.891357626395,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_ct",405.891357626395,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_ct",413.298922575707,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","error_var_dt",0.223450491231303,0.0182503601596078,0.187535552516611,0.259365429945994,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","beta_dt",0.216559705137164,0.0564987711063909,0.105375603344347,0.327743806929982,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","LogLik_dt",401.891357626417,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","AIC_dt",405.891357626417,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Daily","BIC_dt",413.298922575729,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_ct",1.3633272035629,0.409904455084264,0.556674992073242,2.16997941505256,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_ct",-2.59284780005957,0.772691249876577,-4.11342923746678,-1.07226636265236,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_ct",448.89608973979,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_ct",452.89608973979,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_ct",460.303654689103,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","error_var_dt",0.2614302917383,0.0213463283954467,0.219422787809533,0.303437795667068,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","beta_dt",0.0748066683392216,0.0577823514340166,-0.0389033950455261,0.188516731723969,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","LogLik_dt",448.89608973979,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","AIC_dt",452.89608973979,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Weekly","BIC_dt",460.303654689102,NA,NA,NA,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_ct",12.0370464394437,141.963719459745,-267.333784575213,291.4078774541,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_ct",-23.6711521801359,279.174804441106,-573.060090508013,525.717786147741,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_ct",440.538933697378,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","AIC_ct",444.538933697378,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","BIC_ct",451.94649864669,NA,NA,NA,"CT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","error_var_dt",0.252095320399864,0.0205845116420257,0.211586997954183,0.292603642845546,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","beta_dt",-0.0920315368803929,0.057559040560015,-0.205302146123745,0.0212390723629596,"DT",1,4
"Daily",0.2,"SameTimestamp",300,"Monthly","LogLik_dt",437.993696518983,NA,NA,NA,"DT",1,4
