"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.05,"RandomTimestamp",100,"Daily","error_var_ct",0.922136725888342,0.315490600881331,0.296212359377899,1.54806109239878,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","beta_ct",-2.37951298236238,0.828094145511004,-4.02242818171231,-0.736597783012447,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","LogLik_ct",114.471811732003,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","AIC_ct",118.471811732003,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","BIC_ct",123.682152103979,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","error_var_dt",0.195193606700867,0.0276047093954092,0.140426649483256,0.249960563918479,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","beta_dt",0.0642953520357522,0.100201959908281,-0.134502482522517,0.263093186594021,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","LogLik_dt",120.411974685958,NA,NA,NA,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","AIC_dt",124.411974685958,NA,NA,NA,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Daily","BIC_dt",129.622315057935,NA,NA,NA,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","error_var_ct",4.60808261879206,5.94617477980838,-7.18895878851082,16.4051240260949,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","beta_ct",-9.51447469801304,12.2844853987343,-33.8865438488204,14.8575944527943,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","LogLik_ct",141.736518600977,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","AIC_ct",145.736518600977,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","BIC_ct",150.946858972953,NA,NA,NA,"CT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","error_var_dt",0.233221276170835,0.0329837749121087,0.16778240617182,0.29866014616985,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","beta_dt",-0.190135302918554,0.0977966441960872,-0.384161059610773,0.00389045377366465,"DT",1,1
"Daily",0.05,"RandomTimestamp",100,"Weekly","LogLik_dt",138.215047103402,NA,NA,NA,"DT",1,1
