"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.5,"SameTimestamp",100,"Daily","error_var_ct",0.283010153374648,0.0529720478714682,0.177915119119789,0.388105187629508,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","beta_ct",-0.599780901391064,0.151857616742707,-0.90106208787946,-0.298499714902667,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","LogLik_ct",103.584882289253,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","AIC_ct",107.584882289253,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","BIC_ct",112.79522266123,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","error_var_dt",0.164836669821595,0.0233252782197795,0.118559982171915,0.211113357471275,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","beta_dt",0.548931892760447,0.0833598246563749,0.383548374853081,0.714315410667812,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","LogLik_dt",103.584882289253,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","AIC_dt",107.584882289253,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","BIC_dt",112.79522266123,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","error_var_ct",1.20575558189904,0.831090891529058,-0.443105076198952,2.85461623999704,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","beta_ct",-3.04226250314474,2.08119232124715,-7.171288793069,1.08676378677952,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","LogLik_ct",121.695635159664,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","AIC_ct",125.695635159664,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","BIC_ct",130.90597553164,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","error_var_dt",0.197716254443368,0.0279613452508867,0.142241741846005,0.253190767040731,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","beta_dt",0.0477269217735906,0.0993020550446987,-0.14928552716595,0.244739370713131,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","LogLik_dt",121.695635159656,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","AIC_dt",125.695635159656,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Weekly","BIC_dt",130.905975531632,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","error_var_ct",13.6542330132301,609.316905323053,-1195.21315290262,1222.52161892908,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","beta_ct",-23.365752826712,1042.68767311447,-2092.02839900142,2045.29689334799,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","LogLik_ct",160.750871113286,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","AIC_ct",164.750871113286,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","BIC_ct",169.961211485262,NA,NA,NA,"CT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","error_var_dt",0.291657858368237,0.0412466665799574,0.209825646639564,0.37349007009691,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","beta_dt",-0.0424397999837222,0.0998529794776566,-0.24054526730711,0.155665667339665,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","LogLik_dt",160.570386615117,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","AIC_dt",164.570386615117,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Monthly","BIC_dt",169.780726987093,NA,NA,NA,"DT",1,1
"Daily",0.5,"SameTimestamp",100,"Daily","error_var_ct",0.442069303887106,0.105560701674897,0.23263987828875,0.651498729485462,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","beta_ct",-1.14107374265408,0.296149952779838,-1.72862681418138,-0.55352067112679,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","LogLik_ct",108.906810621783,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","AIC_ct",112.906810621783,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","BIC_ct",118.117150993759,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","error_var_dt",0.173936886075345,0.0246039480784057,0.125123353844556,0.222750418306134,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","beta_dt",0.319475953020684,0.0946130084668844,0.131766438940558,0.50718546710081,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","LogLik_dt",108.906810621782,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","AIC_dt",112.906810621782,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Daily","BIC_dt",118.117150993759,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","error_var_ct",10.3831132398687,698.922190640017,-1376.25860665401,1397.02483313375,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","beta_ct",-23.2223320981663,1563.16487894928,-3124.49693068985,3078.05226649352,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","LogLik_ct",133.979328618123,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","AIC_ct",137.979328618123,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","BIC_ct",143.189668990099,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","error_var_dt",0.220855340893058,0.0312342198687361,0.158887538270183,0.282823143515933,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","beta_dt",-0.115978336724224,0.104928745366001,-0.32415397900478,0.092197305556332,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","LogLik_dt",132.764797609735,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","AIC_dt",136.764797609735,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Weekly","BIC_dt",141.975137981711,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","error_var_ct",9.72050802347349,756.941737585889,-1492.03034052866,1511.47135657561,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","beta_ct",-23.9083996532086,1861.75488319581,-3717.57706238584,3669.76026307942,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","LogLik_ct",124.47367731029,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","AIC_ct",128.47367731029,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","BIC_ct",133.684017682266,NA,NA,NA,"CT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","error_var_dt",0.200659881492759,0.0283781898390214,0.144358361104886,0.256961401880632,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","beta_dt",-0.114424395010806,0.100109807428178,-0.313039401673189,0.0841906116515774,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","LogLik_dt",123.17545902514,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","AIC_dt",127.17545902514,NA,NA,NA,"DT",1,2
"Daily",0.5,"SameTimestamp",100,"Monthly","BIC_dt",132.385799397116,NA,NA,NA,"DT",1,2
