"True_Fluctuation","AR_Parameter","Sampling","Sample_Size","Sample_Freq","parameter","Estimate","Std.Error","lbound","ubound","Method","Check_of_Convergence","Iteration"
"Daily",0.05,"SameTimestamp",1000,"Daily","error_var_ct",2.35813693328096,1.86360223476095,-1.29888256310588,6.0151564296678,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","beta_ct",-4.77698267980873,3.77168077719693,-12.178299269304,2.62433390968653,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","LogLik_ct",1438.72186048752,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","AIC_ct",1442.72186048752,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","BIC_ct",1452.53737104549,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","error_var_dt",0.246805377550352,0.0110374468503514,0.225146164243363,0.268464590857341,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","beta_dt",0.00842139164304958,0.0316242308122971,-0.0536360723809957,0.0704788556670948,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","LogLik_dt",1438.72186048751,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","AIC_dt",1442.72186048751,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Daily","BIC_dt",1452.53737104548,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","error_var_ct",1.11890825607102,0.154041910247272,0.81662579550764,1.42119071663439,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","beta_ct",-2.29995524277069,0.314127188162047,-2.91637930045118,-1.68353118509019,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","LogLik_ct",1414.0900704767,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","AIC_ct",1418.0900704767,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","BIC_ct",1427.90558103466,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","error_var_dt",0.240800366243015,0.0107689198890113,0.219668093886519,0.261932638599511,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","beta_dt",0.100263349075204,0.0314861406332812,0.03847686480612,0.162049833344288,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","LogLik_dt",1414.0900704767,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","AIC_dt",1418.0900704767,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Weekly","BIC_dt",1427.90558103466,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","error_var_ct",1.42713410119332,0.271193821389794,0.89495986700147,1.95930833538517,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","beta_ct",-2.82510942273451,0.532371807159358,-3.8698034254535,-1.78041542001552,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","LogLik_ct",1458.3281278395,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","AIC_ct",1462.3281278395,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","BIC_ct",1472.14363839746,NA,NA,NA,"CT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","error_var_dt",0.25169208520187,0.0112559939644581,0.229604008351868,0.273780162051872,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","beta_dt",0.059302236133855,0.0315592204631191,-0.0026276555413401,0.12123212780905,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","LogLik_dt",1458.32812783951,NA,NA,NA,"DT",1,1
"Daily",0.05,"SameTimestamp",1000,"Monthly","AIC_dt",1462.32812783951,NA,NA,NA,"DT",1,1
